"","Zip","Amt1"
"1201","95742",1500
"1202","95746",750
"1203","95746-6615",100
"1204","95747",850
"1205","95757-3279",100
"1206","95757-5121",165
"1207","95758",65
"1208","95759",20
"1209","95762",1000
"1210","95762-9315",240
"1211","95811",7108
"1212","95814",33600
"1213","95814-4602",6600
"1214","95818",1000
"1215","95818-3222",1000
"1216","95821",300
"1217","95823",500
"1218","95828",2200
"1219","95829",100
"1220","95833",100
"1221","95834",1000
"1222","95834-3725",2200
"1223","95835",20
"1224","95841",100
"1225","95843",600
"1226","95864",3300
"1227","95864-5631",1000
"1228","95946",200
"1229","95969-3642",720
"1230","96002",350
"1231","96094",140.98
"1232","96110",1100
"1233","96114",200
"1234","96114-9666",3300
"1235","96134",100
"1236","96150",100
"1237","96740",3300
"1238","96766-8837",200
"1239","96813",500
"1240","96819",250
"1241","96821-1422",750
"1242","97201",1000
"1243","97214",1100
"1244","97223",1000
"1245","97225",3300
"1246","97229",2200
"1247","97267",100
"1248","97411",400
"1249","97520",300
"1250","97756",400
"1251","98030",1000
"1252","98033",450
"1253","98075",1100
"1254","98101",-1000
"1255","98104",1100
"1256","98118",500
"1257","99163",200
"1258","99723",500
