Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Line_Item,Amount_A,Amount_B,Amount_C
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,D,2,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,D,3,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,E,1,18868.76,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,E,2,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,E,3,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,E,4,18868.76,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F,1,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F,2,8120.62,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,F,3,-8120.62,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,H,1,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,H,2,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,H,3,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,I,1,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,I,2,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,I,3,0.00,,
FPPC#1361,Charles Jones for City Council 2014,000,CTL,41850,41777,41820,41947,,,SMRY,I,4,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,1,16620.99,49240.35,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,2,0.00,0.00,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,3,16620.99,49240.35,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,4,5190.50,5190.50,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,5,21811.49,54430.85,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,6,10466.65,66952.23,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,7,0.00,0.00,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,8,10466.65,66952.23,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,9,-8337.90,5027.56,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,10,5190.50,5190.50,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,11,7319.25,77170.29,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,12,56138.49,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,13,16620.99,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,14,1.83,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,15,10466.65,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,16,62294.66,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,17,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,18,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F460,19,5027.56,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,A,1,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,A,2,16620.99,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,A,3,16620.99,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,C,1,5190.50,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,C,2,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,C,3,5190.50,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,I,1,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,I,2,1.83,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,I,3,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,I,4,1.83,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,D,1,2600.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,D,2,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,D,3,2600.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,E,1,10466.65,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,E,2,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,E,3,0.00,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,E,4,10466.65,,
743393,"San Jose Firefighters, IAFF Local 230 Political Action Committee",000,RCP,41851,41777,41820,,,,SMRY,F,1,-2510.50,,
